SAR;EP;alpha;isReversal;kind
129.19828458;132.835356857;0.02;undefined;undefined
129.109;126.955;0.04;false;none
129.218;134.554;0.02;true;trough
129.491;136.053;0.04;false;none
130.086;139.41;0.06;false;none
131.225;144.328;0.08;false;none
132.603;145.002;0.1;false;none
134.31;146.828;0.12;false;none
135.812;146.828;0.12;false;none
137.134;146.828;0.12;false;none
138.297;146.828;0.12;false;none
139.321;146.828;0.12;false;none
140.222;146.828;0.12;false;none
144.066;167.682;0.14;false;none
148.284;170.426;0.16;false;none
151.827;170.426;0.16;false;none
155.651;173.069;0.18;false;none
160.227;178.529;0.2;false;none
163.887;178.529;0.2;false;none
166.815;178.529;0.2;false;none
169.158;178.529;0.2;false;none
168.681;166.774;0.2;false;none
167.004;160.295;0.2;false;none
164.953;156.75;0.2;false;none
163.312;156.75;0.2;false;none
163.41;168.22;0.02;true;trough
163.791;172.923;0.04;false;none
164.546;176.37;0.06;false;none
165.69;178.843;0.08;false;none
167.747;186.26;0.1;false;none
169.598;186.26;0.1;false;none
171.264;186.26;0.1;false;none
173.882;193.08;0.12;false;none
176.62;193.437;0.14;false;none
178.974;193.437;0.14;false;none
183.427;206.804;0.16;false;none
189.038;214.598;0.18;false;none
195.859;223.141;0.2;false;none
202.005;226.588;0.2;false;none
207.577;229.864;0.2;false;none
212.034;229.864;0.2;false;none
216.937;236.547;0.2;false;none
228.029;272.399;0.2;false;none
237.171;273.741;0.2;false;none
246.748;285.056;0.2;false;none
254.823;287.124;0.2;false;none
261.283;287.124;0.2;false;none
261.395;266.871;0.02;true;trough
262.267;283.196;0.04;false;none
262.217;259.764;0.02;true;peak
261.766;250.951;0.04;false;none
261.871;267.005;0.02;true;trough
261.974;267.005;0.02;false;none
262.445;273.754;0.04;false;none
263.231;275.54;0.06;false;none
262.904;246.859;0.02;true;peak
261.239;221.267;0.04;false;none
258.325;212.665;0.06;false;none
255.585;212.665;0.06;false;none
253.01;212.665;0.06;false;none
250.589;212.665;0.06;false;none
248.314;212.665;0.06;false;none
246.175;212.665;0.06;false;none
244.164;212.665;0.06;false;none
242.274;212.665;0.06;false;none
242.376;243.555;0.08;false;none
242.28;237.551;0.02;true;peak
240.613;200.603;0.04;false;none
237.712;192.27;0.06;false;none
234.985;192.27;0.06;false;none
230.935;184.362;0.08;false;none
218.963;111.211;0.1;false;none
204.11;95.184;0.12;false;none
191.039;95.184;0.12;false;none
179.536;95.184;0.12;false;none
169.414;95.184;0.12;false;none
160.506;95.184;0.12;false;none
152.667;95.184;0.12;false;none
145.769;95.184;0.12;false;none
139.699;95.184;0.12;false;none
134.357;95.184;0.12;false;none
129.656;95.184;0.12;false;none
129.761;134.912;0.02;true;trough
130.249;141.949;0.04;false;none
130.717;141.949;0.04;false;none
131.166;141.949;0.04;false;none
131.597;141.949;0.04;false;none
131.504;126.962;0.02;true;peak
131.262;125.45;0.04;false;none
131.315;133.911;0.02;true;trough
131.433;134.274;0.04;false;none
131.685;135.635;0.06;false;none
132.893;146.787;0.08;false;none
134.294;146.9;0.1;false;none
135.555;146.9;0.1;false;none
136.69;146.9;0.1;false;none
140.6;169.273;0.12;false;none
145.445;175.204;0.14;false;none
149.611;175.204;0.14;false;none
153.194;175.204;0.14;false;none
156.275;175.204;0.14;false;none
158.925;175.204;0.14;false;none
159.037;164.517;0.02;true;trough
158.889;151.614;0.02;true;peak
158.744;151.614;0.02;false;none
158.601;151.614;0.02;false;none
158.892;173.157;0.02;true;trough
159.507;174.276;0.04;false;none
161.213;187.94;0.06;false;none
163.364;188.099;0.08;false;none
165.343;188.099;0.08;false;none
167.163;188.099;0.08;false;none
168.838;188.099;0.08;false;none
170.863;189.089;0.1;false;none
173.185;190.21;0.12;false;none
176.49;196.792;0.14;false;none
180.147;199.345;0.16;false;none
183.64;199.553;0.18;false;none
186.504;199.553;0.18;false;none
192.894;218.455;0.2;false;none
199.821;227.53;0.2;false;none
205.363;227.53;0.2;false;none
209.796;227.53;0.2;false;none
213.343;227.53;0.2;false;none
210.484;199.048;0.2;false;none
208.197;199.048;0.2;false;none
206.367;199.048;0.2;false;none
206.528;214.392;0.02;true;trough
